LABELS
SEPARATOR TAB
DATA
0_4_0_1_1	0.4.0.1.1: Node removed
0_4_0_1_4	0.4.0.1.4: Node removed
0_4_0_1_7_2	0.4.0.1.7.2: Node removed
0_4_0_1_7_11	0.4.0.1.7.11: Node removed
0_4_0_1_7_20	0.4.0.1.7.20: Node removed
0_4_0_1_7_0_4_0_1_7	0.4.0.1.7.0_4_0_1_7: Node added
0_4_0_1_11	0.4.0.1.11: Node added
0_4_0_1_13_2	0.4.0.1.13.2: Node removed
0_4_0_1_13_5	0.4.0.1.13.5: Node removed
0_4_0_1_13_0_4_0_1_13	0.4.0.1.13.0_4_0_1_13: Node added
0_4_0_1_13_8	0.4.0.1.13.8: Node removed
0_4_0_1_13_11	0.4.0.1.13.11: Node removed
0_4_0_1_13_14	0.4.0.1.13.14: Node removed
0_4_0_1_13_17	0.4.0.1.13.17: Node removed
0_4_0_1_13_23	0.4.0.1.13.23: Node removed
0_4_0_1_13_26	0.4.0.1.13.26: Node removed
0_4_0_1_14	0.4.0.1.14: Node added
0_4_0_1_17	0.4.0.1.17: Node added
0_4_0_1_20	0.4.0.1.20: Node added
0_4_0_1_22_8	0.4.0.1.22.8: Node added
0_4_0_1_22_0_4_0_1_22	0.4.0.1.22.0_4_0_1_22: Node removed
0_4_0_1_22_2	0.4.0.1.22.2: Node added
0_4_0_1_22_5	0.4.0.1.22.5: Node added
0_4_0_1_23	0.4.0.1.23: Node added
0_4_0_1_26	0.4.0.1.26: Node added
0_4_0_4_2	0.4.0.4.2: Node added
0_4_0_4_5	0.4.0.4.5: Node added
0_4_0_4_13_2	0.4.0.4.13.2: Node removed
0_4_0_4_13_5	0.4.0.4.13.5: Node removed
0_4_0_4_13_8	0.4.0.4.13.8: Node removed
0_4_0_4_13_11	0.4.0.4.13.11: Node removed
0_4_0_4_13_14	0.4.0.4.13.14: Node removed
0_4_0_4_13_17	0.4.0.4.13.17: Node removed
0_4_0_4_13_20	0.4.0.4.13.20: Node removed
